rank,id,name,number,dna_value,rarity_score,status
90,78629b8bd834aa8f60ee54a9110f3c4622584a277871615a004a33cb9ddcaaa8i3,OrdiMutants #628,628.0,Gen 1,355.04218352000504,legendary
91,7df053ade116eabc06ee8c9c5cdabfedad4176b07224fdc3d7330bd443d7ef70i0,ORDIMUTANT OG#83,83.0,OG,354.0584723228948,legendary
92,976f912c24f203da3b898eb80c1c945c966b0613ada243c6a5401986539eaa85i0,OrdiMutants #2047,2047.0,Gen 1,352.9349862595254,legendary
93,5c231e472a94640ae7d0aa1c79724dbaa3ab5b2bb60f8e5f8dd19103edb03527i0,ORDIMUTANT OG#79,79.0,OG,352.0387923192381,legendary
94,f28fb5a00ec37efdd03dfdae88124850df1ea3815fd4b98fd6e7d625489348e1i0,ORDIMUTANT OG#78,78.0,OG,351.1848388794459,legendary
95,8e2376f0f37e40e814c1583bc8dfa6500845300e7b758c4f26f32027e0752c1ei0,OrdiMutants #370,370.0,Gen 1,351.17579591231714,legendary
96,d5a5b8efeabb5ff626a3cd885d7ac86bf1a70d1312f1ac93bca9f1277bc7a2d8i0,ORDIMUTANT OG#43,43.0,OG,350.4300522515991,legendary
97,bcc4a07c1d47e7c1e1cdffe7c5022cc0f768d89ff858ce1ce41ac2f4ccef465ei0,ORDIMUTANT OG#126,126.0,OG,350.0837260331409,legendary
98,955a6508789ff76d93b9e0045d37688ff0879823637d7eb978bb68fc9d6875dei1,OrdiMutants #2958,2958.0,Gen 1,345.90969062052505,legendary
99,20646b5f97c51296bc89d7f0fd6c320a4e1becdc632d529fb583f55005ca39c2i0,ORDIMUTANT OG#19,19.0,OG,345.60973399135946,legendary
100,9d9d72c41709f19173592a1d15eb9d8aaa43ba83408c7b610c5ee91f51f17d27i1,OrdiMutants #115,115.0,Gen 1,345.5715915612641,legendary
101,be37306c0619b4fcb3e389b756c92f501c50212396b8f8142d8255c7f82fa38di8,OrdiMutants #3167,3167.0,Gen 1,342.33311127121425,legendary
102,58f3ea34718a69742ec109b8e439c0ab51ff589f422d24d4fd76973b0bb4467bi0,ORDIMUTANT OG#13,13.0,OG,341.6792608194868,legendary
103,c535f643ae6cca311e392d3e07d960be971d7a75e944ac89602008fa33c97382i0,OrdiMutants #493,493.0,Gen 1,340.44194178894577,legendary
104,f4685454a4e7cccacd19ce3f79dd4f12b64c1169cb237c1fb100c14b659a4ac2i0,ORDIMUTANT OG#146,146.0,OG,340.3497974512804,legendary
105,e661011c8fa58657b3a21091a8a51ab1d2320d8b0030856721315451bc165624i0,ORDIMUTANT OG#149,149.0,OG,339.7960873283789,legendary
106,cb66ff1776db1e0753c8edcc29ed1a72e4c73046e46bc80203ae6f3b415d6a78i0,OrdiMutants #288,288.0,Gen 1,339.51015741345867,legendary
107,95f87955b34bf0b27fc6ec3a9beac54ad2ce33c19cc9dedac3f4c649cde42692i0,OrdiMutants #2365,2365.0,Gen 1,338.6471230518124,legendary
108,964ab852df94829cadebd823af1b38beb88b3aca192844c0fc50bd76d297fd9fi6,OrdiMutants #578,578.0,Gen 1,338.4859150730393,legendary
109,2183b397abd215aaef4fc109a6a1e72e5cbe9258b3001c09f4e56474bcc93807i5,OrdiMutants #1133,1133.0,Gen 1,338.06446891797543,legendary
110,8d90e7549dfb5d8828f5dcf27cf1d1c0ad081b682cba7e2c083a41a62a539695i1,OrdiMutants #43,43.0,Gen 1,337.47329613460545,legendary
111,fd11246ab9098ce3e5fd2f83f6c6ef6862000a95d188ccd877a8173437e7eb87i0,ORDIMUTANT OG#38,38.0,OG,336.5504696670585,legendary
112,d77b8509198fa35534393b49082a68c2d11339d52434e6df982c416607380b02i0,ORDIMUTANT OG#91,91.0,OG,336.3389089279469,epic
113,fc65f2cf1f9247ad752a5f58987d3d593eb15ad59d8a295d906b92fcfc92fd6di8,OrdiMutants #3980,3980.0,Gen 1,334.76554158516905,epic
114,bc7392002c9bb9ccdc5e5c2f67c4da4bf919403959d0bb9724ada83048a53c04i0,ORDIMUTANT OG#100,100.0,OG,331.3014409319494,epic
115,c599d6166cbecef383dd1c74ebe9c6559d7612b28ad9c2b93ebfd37023347255i0,OrdiMutants #62,62.0,Gen 1,331.2869406889398,epic
116,311f46ee43f70c1247e05fd0977b5b8173d05f9485871d608dc5216bcf79dd19i0,ORDIMUTANT OG#114,114.0,OG,329.3372298722086,epic
117,ac3abb924ec34cd561f259c71e88611aecc4c8b1b6bedf7567ce552595156508i0,ORDIMUTANT OG#62,62.0,OG,329.3044052476608,epic
118,86a1ad95b327243361f11236a6a20ce6fe52679f16bcefeb60614096a9335c83i1,OrdiMutants #453,453.0,Gen 1,328.6000288823146,epic
119,4ff353ffc91f52dd85aeca298a46539b2bd7494eb82036cfcdac4830f3a066e5i0,ORDIMUTANT OG#36,36.0,OG,327.2370813933877,epic
120,ec67e77f61ea9b24ad7d2fe3cc691e412184041ca06fa3ecfe5a995ac3051ef7i0,ORDIMUTANT OG#120,120.0,OG,326.9237596155224,epic
121,e134d7edcb14b7f967b03fb5b6352fd8c9c0838c8dfee5cdc90546249a6bca6fi7,OrdiMutants #123,123.0,Gen 1,326.2762549823112,epic
122,8e13b9a8d64d3b8e434e53a16481d1fb49d495530db01231c000d93aff72f13fi0,OrdiMutants #167,167.0,Gen 1,325.17280360203654,epic
123,b02906df9094b3efb58f1e2c88cc77adb4f1679e33f3f740071c6459bb32c589i0,OrdiMutants #2476,2476.0,Gen 1,323.8443758129941,epic
124,f677d9e6d83373911ea906bd388055fdce6f66c730ea07cfe8ee7b89ae837d70i4,OrdiMutants #4197,4197.0,Gen 1,323.4230084049036,epic
125,ec623a1bc25f731df6a15662a3750fbd65db7e50d1d3448a593ea058c5bbf918i0,ORDIMUTANT OG#148,148.0,OG,323.41473380870514,epic
126,192ddcda34a6d39c6e38b06ec0ca22c92cee5473f93465e5acaa6cb4e36bc903i0,OrdiMutants #269,269.0,Gen 1,323.32561947799456,epic
127,4deac4cacb99138af2f64eb8e4cf6af66610d675151694574fbeb756635f1bebi0,ORDIMUTANT OG#67,67.0,OG,322.75813224308524,epic
128,1bac1697c211dbd322001b7572c8cd11d1bb55044f7baa1d0782ddc292901a88i0,ORDIMUTANT OG#84,84.0,OG,322.43002160850665,epic
129,a4d8792e906749ec41ad8aca1c8bedbccf60d607518e38342ef3cba474ae03dai0,ORDIMUTANT OG#12,12.0,OG,321.9267139640964,epic
130,63860046d6d3d0c56cfc364942ea23b4a66e5a2e9629e08ebca9c93782fb924ai0,ORDIMUTANT OG#70,70.0,OG,321.87864164581794,epic
131,2183b397abd215aaef4fc109a6a1e72e5cbe9258b3001c09f4e56474bcc93807i7,OrdiMutants #3624,3624.0,Gen 1,321.3817032739446,epic
132,3f2b148e3ffb6b1a6bcfa423b2aabeb0ce93df85d4853f22d47af56a627f8065i1,OrdiMutants #1536,1536.0,Gen 1,318.7982914665448,epic
133,bb8f05f995b201d73c46d7617f390e3e0b3f7c265fde37df62fbe894fd604121i1,OrdiMutants #3179,3179.0,Gen 1,318.7046997003804,epic
134,30fae0f16a20f4060003599fad21f25e185c614f93de103d2646d18199ce0cc8i1,OrdiMutants #1764,1764.0,Gen 1,318.4362901146676,epic
135,1e2c848ea8507af79c5b1581cb16dcc06694d794ddbff1a54ccfa5f4a2e53967i0,OrdiMutants #176,176.0,Gen 1,317.4986907447935,epic
136,6c926b431d235a1ac778af56ac787e69e85839f68f699063b4e841769f48a195i0,ORDIMUTANT OG#14,14.0,OG,315.92684435869785,epic
